VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ModelYear,Make,Model,VehicleDescription,VehicleId,FrontCrashPicture,FrontCrashVideo,SideCrashPicture,SideCrashVideo,SidePolePicture,SidePoleVideo
https://static.nhtsa.gov/images/vehicles/7163_st0640_046.png,4,3,4,2,5,5,4,5,4,5,4,Not Rated,0.105,0.0,No Tip,4,Standard,No,No,505,6,2,2011,MERCEDES-BENZ,C-CLASS,2011 Mercedes-Benz C-Class 4 DR RWD,119,https://static.nhtsa.gov/crashTest/images/2011/v07182P024.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07182C016.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07029P092.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07029C012.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07072P051.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07072C005.wmv
https://static.nhtsa.gov/images/vehicles/6864_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,284,9,2,2011,MERCEDES-BENZ,E-CLASS CABRIOLET,2011 Mercedes-Benz E-Class Cabriolet 2 DR RWD,122,,,,,,
https://static.nhtsa.gov/images/vehicles/7306_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.099,0.0,No Tip,Not Rated,Standard,No,No,284,9,2,2011,MERCEDES-BENZ,E-CLASS,2011 Mercedes-Benz E-Class 4 DR RWD,124,,,,,,
https://static.nhtsa.gov/images/vehicles/7380_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.212,0.0,No Tip,Not Rated,Standard,No,No,16,0,1,2011,SMART,FORTWO,2011 Smart Fortwo C 2 DR RWD,139,,,,,,
https://static.nhtsa.gov/images/vehicles/7033_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.279,0.0,No Tip,Not Rated,Standard,No,No,19,20,0,2011,FORD,E-350 P12,2011 Ford E-350 P12 VAN RWD,144,,,,,,
https://static.nhtsa.gov/images/vehicles/7002_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,6,17,0,2011,FORD,E-250,2011 Ford E-250 VAN RWD,145,,,,,,
https://static.nhtsa.gov/images/vehicles/6761_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.191,0.0,No Tip,Not Rated,Standard,No,No,362,3,1,2011,FORD,F-250,2011 Ford F-250 Regular Cab PU/RC 4x2,154,,,,,,
https://static.nhtsa.gov/images/vehicles/6738_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,49,11,1,2011,FORD,F-350 SUPER CREW,2011 Ford F-350 Super Crew PU/CC 4x2,159,,,,,,
https://static.nhtsa.gov/images/vehicles/7091_st0640_046.png,4,3,3,4,4,5,3,5,3,4,4,Not Rated,0.105,0.0,No Tip,4,Standard,No,No,178,9,3,2011,MERCURY,MILAN HEV,2011 Mercury Milan HEV 4 DR FWD,188,,,,,,
https://static.nhtsa.gov/images/vehicles/6846_st0640_046.png,5,5,5,5,5,5,4,5,4,5,4,Not Rated,0.118,0.0,No Tip,4,Standard,No,No,165,4,0,2011,BUICK,LACROSSE,2011 Buick Lacrosse 4 DR FWD,190,https://static.nhtsa.gov/crashTest/images/2011/v07370P024.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07370C016.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07367P098.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07367C012.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07369P039.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07369C012.wmv
https://static.nhtsa.gov/images/vehicles/7355_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,277,4,0,2011,BUICK,REGAL,2011 Buick Regal 4 DR FWD,192,,,,,,
https://static.nhtsa.gov/images/vehicles/6929_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.228,0.0,No Tip,Not Rated,Standard,No,No,153,5,1,2011,CHEVROLET,AVALANCHE,2011 Chevrolet Avalanche SUV RWD,203,,,,,,
https://static.nhtsa.gov/images/vehicles/7207_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.133,0.0,No Tip,Not Rated,No,No,No,77,0,0,2011,CHEVROLET,AVEO4,2011 Chevrolet Aveo5 5 HB FWD,205,,,,,,
https://static.nhtsa.gov/images/vehicles/6985_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,80,1,0,2011,CHEVROLET,CORVETTE,2011 Chevrolet Corvette C RWD,212,,,,,,
https://static.nhtsa.gov/images/vehicles/7254_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.113,0.0,No Tip,Not Rated,Standard,No,No,505,2,0,2011,CHEVROLET,IMPALA,2011 Chevrolet Impala 4 DR FWD,225,,,,,,
https://static.nhtsa.gov/images/vehicles/6971_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.204,0.0,No Tip,Not Rated,Standard,No,No,176,6,1,2011,CHEVROLET,SILVERADO 2500,2011 Chevrolet Silverado 2500 PU/EC RWD,242,,,,,,
https://static.nhtsa.gov/images/vehicles/7280_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,No,No,No,104,7,1,2011,CHEVROLET,SILVERADO 3500,2011 Chevrolet Silverado 3500 PU/RC 4WD,246,,,,,,
https://static.nhtsa.gov/images/vehicles/7150_st0640_046.png,5,4,5,4,5,5,5,5,5,5,4,Not Rated,0.169,0.0,No Tip,5,Standard,No,No,274,5,2,2011,GMC,ACADIA,2011 GMC Acadia SUV FWD,247,,,,,,
https://static.nhtsa.gov/images/vehicles/7103_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.279,0.0,No Tip,Not Rated,Standard,No,No,4,7,0,2011,GMC,SAVANA PASSENGER 1500,2011 GMC Savana Passenger 1500 VAN RWD,255,,,,,,
https://static.nhtsa.gov/images/vehicles/7103_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.228,0.0,No Tip,Not Rated,Standard,No,No,4,7,0,2011,GMC,SAVANA PASSENGER 1500,2011 GMC Savana Passenger 1500 VAN AWD,259,,,,,,
https://static.nhtsa.gov/images/vehicles/6853_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.204,0.0,No Tip,Not Rated,Standard,No,No,102,6,1,2011,GMC,SIERRA 2500,2011 GMC Sierra 2500 PU/CC RWD,264,,,,,,
https://static.nhtsa.gov/images/vehicles/6931_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,No,No,No,63,7,1,2011,GMC,SIERRA 3500,2011 GMC Sierra 3500 PU/CC 4WD,267,,,,,,
https://static.nhtsa.gov/images/vehicles/6931_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,No,No,No,63,7,1,2011,GMC,SIERRA 3500,2011 GMC Sierra 3500 PU/EC 4WD,268,,,,,,
https://static.nhtsa.gov/images/vehicles/6974_st0640_046.png,4,5,5,4,5,5,5,5,5,5,3,Not Rated,0.246,0.0,No Tip,5,Standard,No,No,396,5,2,2011,GMC,YUKON,2011 GMC Yukon SUV RWD,274,,,,,,
https://static.nhtsa.gov/images/vehicles/7377_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.097,0.0,No Tip,Not Rated,Standard,Optional,No,3,6,0,2011,ACURA,RL,2011 Acura RL 4 DR AWD,278,,,,,,
https://static.nhtsa.gov/images/vehicles/7375_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.099,0.0,No Tip,Not Rated,Standard,No,No,2,5,0,2011,ACURA,TSX SPORT WAGON,2011 Acura TSX Sport Wagon SW FWD,281,,,,,,
https://static.nhtsa.gov/images/vehicles/7126_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.097,0.0,No Tip,Not Rated,Standard,No,No,284,9,0,2011,HONDA,ACCORD,2011 Honda Accord 2 DR FWD,283,,,,,,
https://static.nhtsa.gov/images/vehicles/7361_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.103,0.0,No Tip,Not Rated,Standard,No,No,163,9,0,2011,HONDA,CIVIC,2011 Honda Civic 2 DR FWD,286,,,,,,
https://static.nhtsa.gov/images/vehicles/7215_st0640_046.png,4,3,3,3,5,5,5,5,5,5,5,Not Rated,0.097,0.0,No Tip,5,Standard,No,No,3280,14,8,2011,HYUNDAI,SONATA,2011 Hyundai Sonata 4 DR FWD Early Release,308,https://static.nhtsa.gov/crashTest/images/2011/v06940P059.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v06940C016.wmv,https://static.nhtsa.gov/crashTest/images/2011/v06941P100.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v06941C011.wmv,https://static.nhtsa.gov/crashTest/images/2011/v06942P066.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v06942C001.wmv
https://static.nhtsa.gov/images/vehicles/7363_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,150,3,3,2011,KIA,FORTE KOUP,2011 Kia Forte Koup 2 DR FWD,318,,,,,,
https://static.nhtsa.gov/images/vehicles/7353_st0640_046.png,5,5,5,5,5,3,5,3,5,5,5,Not Rated,0.096,0.0,No Tip,5,Standard,No,No,572,5,7,2011,KIA,OPTIMA,2011 Kia Optima 4 DR FWD,320,https://static.nhtsa.gov/crashTest/images/2011/v07347P076.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07347C015.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07346P099.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07346C012.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07344P071.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07344C011.wmv
https://static.nhtsa.gov/images/vehicles/7227_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.118,0.0,No Tip,Not Rated,Standard,No,No,22,0,0,2011,KIA,RIO,2011 Kia Rio 4 DR FWD,321,,,,,,
https://static.nhtsa.gov/images/vehicles/7249_st0640_046.png,4,4,4,4,5,4,5,4,5,5,4,Not Rated,0.151,0.0,No Tip,5,Standard,No,No,189,3,3,2011,KIA,SOUL,2011 Kia Soul SUV FWD,326,https://static.nhtsa.gov/crashTest/images/2011/v07126P012.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07126C018.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07119P010.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07119C011.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07116P010.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07116C013.wmv
https://static.nhtsa.gov/images/vehicles/6799_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2011,MITSUBISHI,ECLIPSE SPYDER,2011 Mitsubishi Eclipse Spyder C FWD,341,,,,,,
https://static.nhtsa.gov/images/vehicles/7179_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.101,0.0,No Tip,Not Rated,Standard,No,No,96,1,0,2011,INFINITI,G37,2011 Infiniti G37 4 DR RWD,352,,,,,,
https://static.nhtsa.gov/images/vehicles/7276_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,40,1,1,2011,NISSAN,370Z,2011 Nissan 370Z 2 DR RWD,355,,,,,,
https://static.nhtsa.gov/images/vehicles/7075_st0640_046.png,4,4,4,4,5,4,5,4,5,4,4,Not Rated,0.105,0.0,No Tip,5,Standard,No,No,240,1,1,2011,NISSAN,ALTIMA HEV,2011 Nissan Altima HEV 4 DR FWD,359,,,,,,
https://static.nhtsa.gov/images/vehicles/7097_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.212,0.0,No Tip,Not Rated,Standard,No,No,39,1,0,2011,NISSAN,ARMADA,2011 Nissan Armada SUV RWD,360,,,,,,
,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,0,0,0,2011,NISSAN,QX56,2011 Nissan QX56 SUV RWD,372,,,,,,
https://static.nhtsa.gov/images/vehicles/7054_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.246,0.0,No Tip,Not Rated,Standard,No,No,22,2,0,2011,NISSAN,XTERRA,2011 Nissan Xterra SUV RWD,379,,,,,,
https://static.nhtsa.gov/images/vehicles/6897_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2011,PORSCHE,911 CARRERA CABRIOLET,2011 Porsche 911 Carrera Cabriolet C RWD,387,,,,,,
https://static.nhtsa.gov/images/vehicles/6956_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2,2,1,2011,PORSCHE,911 GT3 RS,2011 Porsche 911 GT3 RS 2 DR RWD,393,,,,,,
https://static.nhtsa.gov/images/vehicles/6789_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,2,4,0,2011,PORSCHE,PANAMERA TURBO,2011 Porsche Panamera Turbo 4 DR AWD,414,,,,,,
https://static.nhtsa.gov/images/vehicles/6946_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.164,0.0,No Tip,Not Rated,Standard,No,No,4,8,0,2011,SUBARU,TRIBECA,2011 Subaru Tribeca SUV AWD,424,,,,,,
https://static.nhtsa.gov/images/vehicles/7213_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.133,0.0,No Tip,Not Rated,Standard,No,No,13,3,1,2011,SUZUKI,SX4,2011 Suzuki SX4 4 DR FWD,428,,,,,,
https://static.nhtsa.gov/images/vehicles/7219_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,13,0,0,2011,LEXUS,LS460,2011 Lexus LS460 4 DR RWD,438,,,,,,
https://static.nhtsa.gov/images/vehicles/7134_st0640_046.png,3,3,4,2,4,5,3,5,3,4,4,Not Rated,0.185,0.0,No Tip,2,Standard,No,No,276,11,1,2011,TOYOTA,RAV4,2011 Toyota RAV4 SUV FWD,455,https://static.nhtsa.gov/crashTest/images/2011/v07150P065.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07150C017.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07138P035.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07138C013.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07142P057.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07142C013.wmv
https://static.nhtsa.gov/images/vehicles/7212_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.14,0.0,No Tip,Not Rated,Standard,No,No,25,3,1,2011,TOYOTA,YARIS,2011 Toyota Yaris Liftback 3 HB FWD,469,,,,,,
https://static.nhtsa.gov/images/vehicles/7137_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.0,0.0,No Tip,Not Rated,Standard,No,No,86,4,3,2011,VOLKSWAGEN,CC,2011 Volkswagen CC 4 DR FWD,472,,,,,,
https://static.nhtsa.gov/images/vehicles/7192_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,110,6,5,2011,VOLKSWAGEN,GOLF,2011 Volkswagen Golf 2 DR FWD,474,,,,,,
https://static.nhtsa.gov/images/vehicles/7205_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.121,0.0,No Tip,Not Rated,Standard,No,No,110,6,5,2011,VOLKSWAGEN,GOLF,2011 Volkswagen Golf 4 DR FWD,475,,,,,,
https://static.nhtsa.gov/images/vehicles/6968_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.121,0.0,No Tip,Not Rated,Standard,No,No,54,2,3,2011,VOLKSWAGEN,GTI,2011 Volkswagen GTI 4 DR FWD,477,,,,,,
https://static.nhtsa.gov/images/vehicles/7233_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.111,0.0,No Tip,Not Rated,Standard,No,No,4,2,0,2011,VOLVO,S40,2011 Volvo S40 4 DR FWD,484,,,,,,
https://static.nhtsa.gov/images/vehicles/7339_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.101,0.0,No Tip,Not Rated,Standard,No,No,23,7,1,2011,LEXUS,IS350,2011 Lexus IS350 4 DR RWD,492,,,,,,
https://static.nhtsa.gov/images/vehicles/6943_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,49,11,1,2011,FORD,F-350 SUPERCAB,2011 Ford F-350 Supercab PU/EC 4x4,508,,,,,,
https://static.nhtsa.gov/images/vehicles/6933_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,3,Not Rated,0.219,0.0,No Tip,Not Rated,Standard,No,No,121,3,2,2011,DODGE,NITRO,2011 Dodge Nitro SUV 4WD,511,,,,,,
https://static.nhtsa.gov/images/vehicles/6893_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,91,5,1,2011,MERCEDES-BENZ,GL-CLASS,2011 Mercedes-Benz GL-Class SUV AWD,526,,,,,,
https://static.nhtsa.gov/images/vehicles/6939_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.179,0.0,No Tip,Not Rated,Standard,No,No,112,4,1,2011,MERCEDES-BENZ,ML-CLASS,2011 Mercedes-Benz ML-Class SUV AWD,528,,,,,,
